Ilan_No,Ilan_Yili,Ilce,Brut_Metrekare,Oda_Sayisi,Bina_Yasi,Kat_Sayisi,Bulundugu_Kat,Isitma_Tipi,Site_Icerisinde,Fiyat
47,2025,Beşiktaş,160,4,6,14,4,Doğalgaz,Evet,48000000
48,2025,Esenyurt,100,3,3,5,1,Doğalgaz,Hayir,8000000
49,2024,Beşiktaş,170,4,5,10,2,Doğalgaz,Evet,35000000
50,2024,Esenyurt,75,2,1,5,1,Merkezi,Evet,5000000
51,2025,Beşiktaş,175,5,7,15,5,Merkezi,Evet,49000000
52,2025,Esenyurt,90,3,3,7,2,Doğalgaz,Evet,8500000
53,2024,Beşiktaş,145,4,7,11,4,Doğalgaz,Evet,27000000
54,2024,Esenyurt,70,2,2,6,1,Merkezi,Evet,6000000
55,2025,Beşiktaş,190,5,8,12,3,Doğalgaz,Evet,51000000
56,2025,Esenyurt,110,4,4,8,2,Doğalgaz,Hayir,11500000
57,2024,Beşiktaş,130,3,6,10,3,Merkezi,Evet,22000000
58,2024,Esenyurt,75,2,3,6,2,Doğalgaz,Evet,5200000
59,2025,Beşiktaş,160,4,7,11,3,Doğalgaz,Evet,45000000
60,2025,Esenyurt,100,3,3,10,2,Merkezi,Evet,8500000
61,2024,Beşiktaş,135,4,6,10,3,Doğalgaz,Evet,29000000
62,2024,Esenyurt,80,2,2,6,1,Merkezi,Hayir,6000000
63,2025,Beşiktaş,140,3,5,9,3,Doğalgaz,Evet,46000000
64,2025,Esenyurt,90,3,3,7,2,Doğalgaz,Evet,9200000
65,2024,Beşiktaş,120,3,6,10,2,Merkezi,Evet,25000000
66,2024,Esenyurt,75,2,2,6,1,Merkezi,Evet,5500000
67,2025,Beşiktaş,160,4,5,10,3,Doğalgaz,Evet,49000000
68,2025,Esenyurt,80,3,4,8,2,Merkezi,Hayir,7500000
69,2024,Beşiktaş,155,4,7,11,3,Doğalgaz,Evet,24000000
70,2024,Esenyurt,80,2,2,6,1,Doğalgaz,Hayir,6500000
71,2025,Beşiktaş,175,5,6,12,4,Merkezi,Evet,48000000
72,2025,Esenyurt,90,3,3,9,2,Doğalgaz,Hayir,9100000
73,2024,Beşiktaş,145,4,7,10,3,Merkezi,Evet,23000000
74,2024,Esenyurt,65,2,1,5,1,Doğalgaz,Evet,5000000
75,2025,Beşiktaş,135,3,6,10,2,Doğalgaz,Evet,42000000
76,2025,Esenyurt,95,3,3,7,2,Merkezi,Evet,8700000
77,2024,Beşiktaş,150,4,8,12,3,Doğalgaz,Evet,32000000
78,2024,Esenyurt,85,2,2,6,1,Merkezi,Hayir,6000000
79,2025,Beşiktaş,175,5,5,11,4,Doğalgaz,Evet,49000000
80,2025,Esenyurt,100,3,4,8,2,Doğalgaz,Hayir,9000000
81,2024,Beşiktaş,120,3,5,10,2,Merkezi,Evet,26000000
82,2024,Esenyurt,70,2,2,5,1,Doğalgaz,Hayir,5400000
83,2025,Beşiktaş,160,5,6,11,3,Merkezi,Evet,48000000
84,2025,Esenyurt,95,3,3,7,2,Doğalgaz,Evet,8500000
85,2024,Beşiktaş,135,4,7,10,3,Merkezi,Evet,27000000
86,2024,Esenyurt,80,2,3,6,1,Doğalgaz,Evet,6000000
87,2025,Beşiktaş,160,5,6,11,4,Doğalgaz,Evet,49000000
88,2025,Esenyurt,90,3,4,8,2,Merkezi,Hayir,8300000
89,2024,Beşiktaş,140,4,7,12,3,Doğalgaz,Evet,24000000
90,2024,Esenyurt,75,2,3,7,2,Merkezi,Evet,6500000
91,2025,Beşiktaş,175,5,8,15,5,Merkezi,Evet,50000000
92,2025,Esenyurt,100,3,4,8,2,Doğalgaz,Hayir,9000000
93,2024,Beşiktaş,130,3,6,10,3,Doğalgaz,Evet,28000000
94,2024,Esenyurt,82,2,2,6,1,Merkezi,Evet,5800000
95,2025,Beşiktaş,180,5,7,12,4,Merkezi,Evet,48000000
96,2025,Esenyurt,105,3,3,7,2,Doğalgaz,Evet,8300000
97,2024,Beşiktaş,120,3,5,10,3,Doğalgaz,Evet,23000000
98,2024,Esenyurt,80,2,3,6,1,Merkezi,Evet,6000000
99,2025,Beşiktaş,160,4,6,12,4,Doğalgaz,Evet,49000000
100,2025,Esenyurt,90,3,3,8,2,Doğalgaz,Hayir,9200000
101,2024,Beşiktaş,100,2,3,10,2,Doğalgaz,Evet,20000000
102,2024,Kadıköy,120,3,5,12,3,Merkezi,Evet,25000000
103,2024,Bakırköy,90,2,4,9,3,Doğalgaz,Hayır,22000000
104,2024,Sarıyer,150,4,2,15,5,Merkezi,Evet,30000000
105,2024,Şişli,110,3,6,10,3,Doğalgaz,Evet,26000000
106,2024,Üsküdar,70,2,3,7,2,Doğalgaz,Hayır,15000000
107,2024,Ümraniye,80,2,5,8,2,Merkezi,Evet,13000000
108,2024,Maltepe,100,3,7,10,4,Doğalgaz,Hayır,17000000
109,2024,Bahçelievler,95,3,6,10,3,Merkezi,Evet,16000000
110,2024,Esenyurt,75,2,2,6,1,Doğalgaz,Evet,6000000
111,2024,Pendik,85,3,1,7,2,Merkezi,Hayır,7000000
112,2024,Sancaktepe,90,3,4,9,2,Doğalgaz,Evet,8000000
113,2024,Arnavutköy,80,2,3,6,1,Merkezi,Evet,5000000
114,2024,Sultanbeyli,70,2,1,5,1,Doğalgaz,Hayır,4500000
115,2025,Beşiktaş,100,2,4,10,3,Doğalgaz,Evet,30000000
116,2025,Kadıköy,120,3,6,12,4,Merkezi,Evet,37500000
117,2025,Bakırköy,90,2,5,9,3,Doğalgaz,Hayır,33000000
118,2025,Sarıyer,150,4,3,15,5,Merkezi,Evet,45000000
119,2025,Şişli,110,3,6,10,3,Doğalgaz,Evet,39000000
120,2025,Üsküdar,70,2,4,8,2,Doğalgaz,Hayır,22500000
121,2025,Ümraniye,80,2,5,7,2,Merkezi,Evet,18500000
122,2025,Maltepe,100,3,6,10,4,Doğalgaz,Hayır,25500000
123,2025,Bahçelievler,95,3,5,9,3,Merkezi,Evet,24500000
124,2025,Esenyurt,75,2,2,6,1,Doğalgaz,Evet,9000000
125,2025,Pendik,85,3,2,7,2,Merkezi,Hayır,10500000
126,2025,Sancaktepe,90,3,2,8,2,Doğalgaz,Evet,11000000
127,2025,Arnavutköy,80,2,3,6,1,Merkezi,Evet,6500000
128,2025,Sultanbeyli,70,2,1,5,1,Doğalgaz,Hayır,6200000
129,2024,Beşiktaş,150,4,2,15,5,Doğalgaz,Evet,32000000
130,2024,Kadıköy,130,3,4,10,3,Merkezi,Evet,31000000
131,2024,Bakırköy,100,3,3,9,3,Doğalgaz,Hayır,28000000
132,2024,Sarıyer,90,2,4,12,2,Merkezi,Evet,22500000
133,2024,Şişli,110,3,5,10,4,Doğalgaz,Evet,26500000
134,2024,Üsküdar,80,2,7,8,2,Doğalgaz,Hayır,16000000
135,2024,Ümraniye,90,3,6,6,1,Merkezi,Evet,18000000
136,2024,Maltepe,100,3,4,7,2,Doğalgaz,Hayır,17500000
137,2024,Bahçelievler,75,2,3,5,1,Merkezi,Evet,6200000
138,2024,Esenyurt,70,2,2,6,1,Doğalgaz,Evet,5600000
139,2024,Pendik,80,2,5,7,2,Merkezi,Hayır,7200000
140,2024,Sancaktepe,85,3,1,8,3,Doğalgaz,Hayır,8500000
141,2024,Arnavutköy,90,3,3,6,2,Merkezi,Evet,7300000
142,2024,Sultanbeyli,65,2,1,5,1,Doğalgaz,Evet,4700000
143,2025,Beşiktaş,110,3,3,10,3,Doğalgaz,Evet,48000000
144,2025,Kadıköy,130,4,4,12,4,Merkezi,Evet,46500000
145,2025,Bakırköy,90,2,5,9,2,Doğalgaz,Hayır,37000000
146,2025,Sarıyer,150,4,3,15,5,Merkezi,Evet,50000000
147,2025,Şişli,120,4,5,11,4,Doğalgaz,Evet,42000000
148,2025,Üsküdar,75,2,5,8,2,Merkezi,Hayır,23500000
149,2025,Ümraniye,85,3,4,9,2,Doğalgaz,Evet,19500000
150,2025,Maltepe,100,3,5,10,4,Merkezi,Hayır,27000000
151,2025,Bahçelievler,80,2,4,7,2,Doğalgaz,Evet,18000000
152,2025,Esenyurt,80,2,2,5,1,Merkezi,Evet,7500000
153,2025,Pendik,90,3,2,8,2,Doğalgaz,Hayır,14500000
154,2025,Sancaktepe,100,3,3,6,1,Merkezi,Evet,12800000
155,2025,Arnavutköy,75,2,2,6,1,Doğalgaz,Evet,8900000
156,2025,Sultanbeyli,70,2,1,5,1,Merkezi,Hayır,6000000
157,2024,Beşiktaş,100,3,5,10,3,Doğalgaz,Evet,21000000
158,2024,Kadıköy,110,4,4,12,4,Merkezi,Evet,35000000
159,2024,Bakırköy,120,3,3,10,3,Doğalgaz,Hayır,24000000
160,2024,Sarıyer,130,4,2,15,5,Merkezi,Evet,30000000
161,2024,Şişli,95,3,5,9,3,Doğalgaz,Evet,22000000
162,2024,Üsküdar,80,2,4,7,2,Merkezi,Hayır,16000000
163,2024,Ümraniye,75,2,3,6,1,Doğalgaz,Evet,11000000
164,2024,Maltepe,85,3,4,8,2,Merkezi,Hayır,18000000
165,2024,Bahçelievler,80,2,2,5,1,Doğalgaz,Evet,7000000
166,2024,Esenyurt,90,3,1,6,1,Merkezi,Hayır,8000000
167,2024,Pendik,85,3,3,9,2,Doğalgaz,Evet,9000000
168,2024,Sancaktepe,95,3,4,7,2,Merkezi,Hayır,9500000
169,2024,Arnavutköy,80,2,2,5,1,Doğalgaz,Evet,6700000
170,2024,Sultanbeyli,70,2,1,5,1,Merkezi,Hayır,4500000
171,2024,Kadıköy,100,2,5,10,3,Doğalgaz,Evet,20000000
172,2024,Beşiktaş,120,3,8,12,4,Merkezi,Evet,25000000
173,2024,Üsküdar,80,2,4,7,2,Doğalgaz,Hayır,12000000
174,2024,Şişli,90,2,6,9,3,Merkezi,Evet,23000000
175,2024,Ümraniye,75,2,3,8,1,Doğalgaz,Hayır,9500000
176,2024,Maltepe,85,3,5,6,2,Doğalgaz,Evet,11500000
177,2024,Bahçelievler,95,3,4,10,3,Merkezi,Evet,14000000
178,2024,Esenyurt,70,2,2,5,1,Doğalgaz,Hayır,6000000
179,2024,Pendik,80,2,1,6,2,Merkezi,Evet,8000000
180,2024,Sultanbeyli,60,2,1,5,1,Doğalgaz,Evet,4500000
181,2025,Kadıköy,100,2,5,10,3,Merkezi,Evet,30000000
182,2025,Beşiktaş,120,3,8,12,4,Doğalgaz,Evet,37500000
183,2025,Üsküdar,80,2,4,7,2,Merkezi,Hayır,18000000
184,2025,Şişli,90,2,6,9,3,Doğalgaz,Evet,34500000
185,2025,Ümraniye,75,2,3,8,1,Merkezi,Hayır,14250000
186,2025,Maltepe,85,3,5,6,2,Doğalgaz,Evet,17250000
187,2025,Bahçelievler,95,3,4,10,3,Merkezi,Evet,21000000
188,2025,Esenyurt,70,2,2,5,1,Doğalgaz,Hayır,9000000
189,2025,Pendik,80,3,1,6,2,Merkezi,Evet,12000000
190,2025,Sultanbeyli,60,2,1,5,1,Doğalgaz,Evet,6750000
191,2024,Kadıköy,110,3,6,11,3,Merkezi,Evet,35000000
192,2024,Beşiktaş,130,4,3,15,5,Doğalgaz,Evet,40000000
193,2024,Üsküdar,85,3,5,10,3,Merkezi,Hayır,13500000
194,2024,Şişli,95,3,4,8,2,Doğalgaz,Evet,16000000
195,2024,Ümraniye,80,2,4,7,2,Merkezi,Hayır,11000000
196,2024,Maltepe,90,3,6,9,1,Doğalgaz,Evet,14500000
197,2024,Bahçelievler,100,2,5,10,3,Merkezi,Evet,15000000
198,2024,Esenyurt,80,2,2,6,1,Doğalgaz,Hayır,7500000
199,2024,Pendik,70,2,1,5,1,Merkezi,Evet,5000000
200,2024,Sultanbeyli,65,2,1,5,1,Doğalgaz,Evet,4200000
201,2025,Kadıköy,110,3,6,11,3,Merkezi,Evet,52500000
202,2025,Beşiktaş,130,4,3,15,5,Doğalgaz,Evet,60000000
203,2025,Üsküdar,85,3,5,10,3,Merkezi,Hayır,20250000
204,2025,Şişli,95,3,4,8,2,Doğalgaz,Evet,24000000
205,2025,Ümraniye,80,2,4,7,2,Merkezi,Hayır,16500000
206,2025,Maltepe,90,3,6,9,1,Doğalgaz,Evet,18500000
207,2025,Bahçelievler,100,2,5,10,3,Merkezi,Evet,22500000
208,2025,Esenyurt,80,2,2,6,1,Doğalgaz,Hayır,13500000
209,2025,Pendik,70,2,1,5,1,Merkezi,Evet,8500000
210,2025,Sultanbeyli,65,2,1,5,1,Doğalgaz,Evet,6200000
211,2024,Kadıköy,105,3,5,12,3,Merkezi,Evet,39000000
212,2024,Beşiktaş,125,4,4,15,5,Doğalgaz,Evet,45000000
213,2024,Üsküdar,88,3,3,8,2,Merkezi,Hayır,15500000
214,2024,Şişli,102,3,6,10,4,Doğalgaz,Evet,25000000
215,2024,Ümraniye,82,2,4,8,1,Doğalgaz,Hayır,11500000
216,2024,Maltepe,75,2,3,6,1,Merkezi,Evet,10250000
217,2024,Bahçelievler,82,3,5,9,3,Doğalgaz,Hayır,13500000
218,2024,Esenyurt,78,2,1,5,1,Merkezi,Evet,7500000
219,2024,Pendik,83,3,2,6,2,Doğalgaz,Hayır,8000000
220,2024,Sultanbeyli,70,2,1,5,1,Merkezi,Evet,4800000
221,2024,Kadıköy,90,2,5,10,3,Doğalgaz,Evet,16800000
222,2024,Ümraniye,85,3,8,12,3,Merkezi,Evet,12800000
223,2024,Maltepe,100,3,6,10,4,Doğalgaz,Hayır,13500000
224,2024,Kartal,110,3,4,9,3,Merkezi,Evet,14000000
225,2024,Şişli,95,3,7,10,3,Doğalgaz,Evet,17500000
226,2024,Sarıyer,120,4,3,15,5,Merkezi,Evet,35000000
227,2024,Beşiktaş,100,3,2,11,3,Doğalgaz,Evet,45000000
228,2024,Pendik,70,2,1,7,2,Merkezi,Evet,8000000
229,2024,Silivri,65,2,10,5,1,Doğalgaz,Hayır,5200000
230,2024,Kadıköy,100,3,4,10,3,Merkezi,Evet,18000000
231,2024,Ümraniye,90,3,6,8,2,Doğalgaz,Hayır,11800000
232,2024,Maltepe,115,4,5,9,4,Merkezi,Hayır,14500000
233,2024,Kartal,80,2,3,7,1,Doğalgaz,Evet,10000000
234,2024,Şişli,75,2,4,6,2,Merkezi,Evet,16500000
235,2024,Sarıyer,130,4,2,15,5,Doğalgaz,Evet,40000000
236,2024,Beşiktaş,110,3,5,14,4,Merkezi,Evet,48000000
237,2024,Pendik,75,2,1,5,1,Doğalgaz,Hayır,6200000
238,2024,Silivri,70,2,12,4,1,Merkezi,Evet,5300000
239,2025,Kadıköy,95,3,5,10,3,Doğalgaz,Evet,27000000
240,2025,Ümraniye,85,3,7,8,2,Merkezi,Evet,18000000
241,2025,Maltepe,110,4,4,10,3,Doğalgaz,Hayır,21500000
242,2025,Kartal,120,4,3,9,2,Merkezi,Evet,21000000
243,2025,Şişli,100,3,6,11,3,Doğalgaz,Evet,26250000
244,2025,Sarıyer,140,4,2,15,5,Merkezi,Evet,52500000
245,2025,Beşiktaş,120,4,3,14,4,Doğalgaz,Evet,72000000
246,2025,Pendik,85,3,1,6,2,Merkezi,Hayır,9000000
247,2025,Silivri,75,2,11,5,1,Doğalgaz,Hayır,6000000
248,2024,Kadıköy,110,4,4,10,3,Merkezi,Evet,29000000
249,2024,Ümraniye,95,3,6,9,2,Doğalgaz,Evet,14500000
250,2024,Maltepe,120,4,5,8,2,Merkezi,Hayır,19500000
251,2024,Kartal,100,3,3,7,1,Doğalgaz,Evet,15000000
252,2024,Şişli,90,2,6,8,3,Merkezi,Evet,18500000
253,2024,Sarıyer,130,4,2,15,6,Doğalgaz,Evet,42000000
254,2024,Beşiktaş,115,3,5,13,4,Merkezi,Evet,57500000
255,2024,Pendik,80,2,2,5,1,Doğalgaz,Hayır,4000000
256,2024,Silivri,68,2,10,4,1,Merkezi,Evet,5300000
257,2025,Kadıköy,125,4,5,11,3,Doğalgaz,Evet,43500000
258,2025,Ümraniye,95,3,7,9,2,Merkezi,Hayır,20000000
259,2025,Maltepe,130,4,4,10,3,Doğalgaz,Evet,26000000
260,2025,Kartal,140,4,3,9,2,Merkezi,Evet,26500000
261,2025,Şişli,100,3,6,11,3,Doğalgaz,Evet,39000000
262,2025,Sarıyer,150,5,2,15,5,Merkezi,Evet,75000000
263,2025,Beşiktaş,125,4,3,14,4,Doğalgaz,Evet,105000000
264,2025,Pendik,85,3,1,5,1,Merkezi,Hayır,6700000
265,2025,Silivri,80,2,12,4,1,Doğalgaz,Hayır,6000000
266,2024,Kadıköy,95,2,5,10,3,Merkezi,Evet,17250000
267,2024,Ümraniye,90,3,8,12,3,Doğalgaz,Evet,12800000
268,2024,Maltepe,110,3,6,10,4,Merkezi,Evet,14600000
269,2024,Kartal,100,3,4,9,3,Doğalgaz,Evet,14500000
270,2024,Şişli,75,2,6,9,2,Doğalgaz,Hayır,18500000
271,2024,Sarıyer,130,4,3,15,5,Merkezi,Evet,42000000
272,2024,Beşiktaş,125,4,4,13,4,Doğalgaz,Evet,55000000
273,2024,Pendik,78,2,1,7,2,Merkezi,Hayır,5500000
274,2024,Silivri,72,2,9,5,1,Doğalgaz,Evet,5400000
275,2025,Kadıköy,100,3,5,10,3,Merkezi,Evet,27000000
276,2025,Ümraniye,85,3,6,8,1,Doğalgaz,Evet,18000000
277,2025,Maltepe,120,4,4,10,2,Merkezi,Hayır,22500000
278,2025,Kartal,140,4,3,9,3,Doğalgaz,Evet,27300000
279,2025,Şişli,90,3,7,10,3,Merkezi,Evet,25500000
280,2025,Sarıyer,150,5,2,15,5,Doğalgaz,Evet,69000000
281,2025,Beşiktaş,140,4,3,14,4,Merkezi,Evet,86000000
282,2025,Pendik,80,2,2,5,1,Doğalgaz,Hayır,7500000
283,2025,Silivri,70,2,10,4,1,Merkezi,Evet,5300000
284,2024,Kadıköy,105,3,4,10,3,Doğalgaz,Evet,19000000
285,2024,Ümraniye,95,3,7,9,2,Merkezi,Evet,13000000
286,2024,Maltepe,130,4,5,9,3,Doğalgaz,Hayır,17500000
287,2024,Kartal,110,3,2,8,1,Doğalgaz,Evet,14500000
288,2024,Şişli,90,3,6,9,3,Merkezi,Evet,18800000
289,2024,Sarıyer,140,4,3,15,5,Doğalgaz,Evet,65000000
290,2024,Beşiktaş,145,4,2,14,6,Merkezi,Evet,90000000
291,2024,Pendik,85,3,1,5,1,Doğalgaz,Hayır,6800000
292,2024,Silivri,75,2,11,5,1,Merkezi,Evet,6000000
293,2025,Kadıköy,110,4,5,11,3,Doğalgaz,Evet,38500000
294,2025,Ümraniye,95,3,6,9,2,Merkezi,Evet,19800000
295,2025,Maltepe,140,4,4,10,3,Doğalgaz,Evet,25900000
296,2025,Kartal,130,4,3,9,2,Merkezi,Evet,24300000
297,2025,Şişli,85,3,7,10,3,Doğalgaz,Evet,27600000
298,2025,Sarıyer,160,5,2,15,5,Doğalgaz,Evet,78000000
299,2025,Beşiktaş,150,5,2,14,4,Merkezi,Evet,95000000
300,2025,Pendik,90,3,1,6,1,Doğalgaz,Hayır,9800000
301,2025,Silivri,70,2,10,4,1,Merkezi,Evet,6800000
302,2025,Kadıköy,100,2,4,8,3,Doğalgaz,Evet,18000000
303,2025,Üsküdar,80,2,2,6,2,Merkezi,Evet,12000000
304,2025,Maltepe,120,3,3,8,3,Doğalgaz,Hayır,14500000
305,2025,Ataşehir,90,2,5,9,2,Doğalgaz,Evet,15000000
306,2025,Şişli,110,3,1,11,4,Merkezi,Evet,22000000
307,2025,Kadıköy,140,3,2,12,5,Doğalgaz,Evet,28000000
308,2025,Üsküdar,100,2,8,10,5,Merkezi,Evet,18500000
309,2025,Maltepe,130,4,1,10,4,Doğalgaz,Hayır,23000000
310,2025,Ataşehir,160,4,0,15,6,Doğalgaz,Evet,40000000
311,2025,Şişli,90,2,7,7,3,Merkezi,Evet,15000000
312,2025,Kadıköy,110,3,4,9,4,Doğalgaz,Evet,21000000
313,2025,Üsküdar,120,3,5,8,3,Merkezi,Evet,20000000
314,2025,Maltepe,140,4,2,10,4,Doğalgaz,Hayır,24500000
315,2025,Ataşehir,100,2,6,9,2,Doğalgaz,Evet,17500000
316,2025,Şişli,130,4,3,9,4,Merkezi,Evet,27500000
317,2025,Kadıköy,90,2,1,8,3,Doğalgaz,Evet,14500000
318,2025,Üsküdar,140,3,0,12,5,Merkezi,Evet,31000000
319,2025,Maltepe,120,3,9,11,4,Doğalgaz,Hayır,20000000
320,2025,Ataşehir,110,3,4,9,3,Doğalgaz,Evet,22000000
321,2025,Şişli,150,4,2,10,2,Merkezi,Evet,32000000
322,2025,Kadıköy,100,2,3,10,3,Doğalgaz,Evet,18000000
323,2025,Üsküdar,80,2,5,7,1,Merkezi,Evet,13000000
324,2025,Maltepe,90,2,7,6,1,Doğalgaz,Evet,14000000
325,2025,Ataşehir,130,4,3,11,4,Merkezi,Evet,26000000
326,2025,Şişli,120,3,2,10,3,Doğalgaz,Evet,19500000
327,2025,Kadıköy,140,4,0,12,5,Doğalgaz,Evet,31000000
328,2025,Üsküdar,150,4,1,10,3,Merkezi,Evet,29000000
329,2025,Maltepe,110,3,5,9,4,Doğalgaz,Hayır,18500000
330,2025,Ataşehir,90,2,6,8,2,Doğalgaz,Evet,16000000
331,2025,Şişli,100,3,4,10,3,Merkezi,Evet,20000000
332,2025,Kadıköy,120,3,3,12,5,Doğalgaz,Evet,25000000
333,2025,Üsküdar,130,4,2,11,4,Merkezi,Evet,23000000
334,2025,Maltepe,140,4,0,15,6,Doğalgaz,Hayır,37000000
335,2025,Ataşehir,110,3,1,9,2,Doğalgaz,Evet,18000000
336,2025,Şişli,80,2,5,7,2,Merkezi,Evet,13000000
337,2025,Kadıköy,95,2,6,8,2,Doğalgaz,Evet,16000000
338,2025,Üsküdar,85,2,3,7,2,Merkezi,Evet,12500000
339,2025,Maltepe,140,4,0,13,5,Doğalgaz,Evet,31000000
340,2025,Ataşehir,90,2,8,9,3,Doğalgaz,Evet,14500000
341,2025,Şişli,100,2,4,10,4,Merkezi,Evet,20000000
342,2025,Kadıköy,120,4,2,11,3,Doğalgaz,Evet,28000000
343,2025,Üsküdar,100,3,1,10,3,Merkezi,Evet,17000000
344,2025,Maltepe,90,3,5,7,1,Doğalgaz,Hayır,13500000
345,2025,Ataşehir,110,3,4,8,3,Merkezi,Evet,20500000
346,2025,Şişli,150,4,2,14,5,Doğalgaz,Evet,37000000
347,2025,Kadıköy,140,3,3,11,3,Doğalgaz,Evet,28000000
348,2025,Üsküdar,120,3,2,10,4,Merkezi,Evet,22500000
349,2025,Maltepe,110,3,1,9,2,Doğalgaz,Evet,19000000
350,2025,Ataşehir,90,2,7,8,1,Merkezi,Evet,14500000
351,2025,Şişli,130,4,5,11,3,Doğalgaz,Evet,31000000
352,2025,Kadıköy,100,3,2,10,4,Doğalgaz,Evet,17500000
353,2025,Üsküdar,140,4,0,15,6,Merkezi,Evet,37000000
354,2025,Maltepe,120,3,9,10,4,Doğalgaz,Evet,21000000
355,2025,Ataşehir,80,2,8,8,2,Merkezi,Evet,12500000
356,2025,Şişli,100,3,4,10,4,Doğalgaz,Evet,19000000
357,2025,Kadıköy,130,4,1,12,5,Merkezi,Evet,29000000
358,2025,Üsküdar,120,3,5,10,3,Doğalgaz,Evet,22000000
359,2025,Maltepe,140,4,0,11,3,Merkezi,Evet,31000000
360,2025,Ataşehir,100,3,4,9,2,Doğalgaz,Evet,20000000
361,2025,Şişli,130,4,2,8,1,Merkezi,Evet,26000000
362,2025,Kadıköy,85,2,3,9,2,Doğalgaz,Evet,16500000
363,2025,Üsküdar,110,3,6,10,3,Merkezi,Evet,20500000
364,2025,Maltepe,100,3,1,10,4,Doğalgaz,Evet,18000000
365,2025,Ataşehir,120,3,3,12,5,Merkezi,Evet,23500000
366,2025,Şişli,80,2,7,8,2,Doğalgaz,Evet,14000000
367,2025,Kadıköy,110,3,0,11,4,Merkezi,Evet,22500000
368,2025,Üsküdar,140,4,5,8,3,Doğalgaz,Evet,32000000
369,2025,Maltepe,90,2,8,9,2,Merkezi,Evet,14000000
370,2025,Ataşehir,130,4,4,10,3,Doğalgaz,Evet,27000000
371,2025,Şişli,150,4,2,14,5,Merkezi,Evet,37000000
